        m,               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A),               Re{I[3]} (A),               Im{I[3]} (A),               Re{I[4]} (A),               Im{I[4]} (A),               Re{I[5]} (A),               Im{I[5]} (A),               Re{I[6]} (A),               Im{I[6]} (A),               Re{I[7]} (A),               Im{I[7]} (A),               Re{I[8]} (A),               Im{I[8]} (A)
 1.60e+01,        +6.558035333901e-08,        -2.293607132592e-07,        -1.172746130975e-08,        -2.172295415647e-07,        +6.499147550623e-09,        +2.546403546480e-07,        +1.545937950058e-08,        +2.088411452108e-07,        +2.062231337240e-08,        -2.470514306770e-06,        +3.642999954899e-09,        -1.424911698851e-06,        -4.566597510939e-11,        +1.382774505041e-06,        +3.494475817515e-08,        +3.300817944119e-06
 1.70e+01,        -2.754389531789e-08,        -2.257317689074e-06,        +1.295093507172e-08,        -3.559812063094e-06,        +3.769112503974e-09,        +2.184142658855e-06,        -3.008984432521e-09,        +1.461588011816e-06,        -1.621353828178e-08,        -1.621191055784e-07,        +3.950312546612e-08,        -1.308582885593e-07,        +2.322336960849e-09,        +1.227514255789e-07,        -3.062991074904e-08,        +9.885548575204e-08
 1.80e+01,        +4.476138851070e-09,        +4.057782721382e-07,        +1.908254313831e-09,        +4.885279045227e-07,        +1.492165843088e-08,        -3.096140180203e-06,        +6.012275849792e-10,        -2.604818498246e-06,        +2.523629090061e-10,        +4.478854121420e-07,        +1.355085426411e-09,        +3.351034757246e-07,        +6.864175263673e-10,        -2.407220264649e-06,        -6.150059528788e-09,        -2.753998370307e-06
 1.90e+01,        +2.440773785867e-10,        +4.161241696124e-08,        +2.650918426934e-09,        +5.095790985198e-08,        +2.355991554424e-11,        -1.878037785821e-07,        +9.932039088862e-10,        -1.599359489707e-07,        -1.392469309327e-09,        +2.617773942279e-08,        -3.463648768313e-09,        +1.448219862351e-08,        +1.309122852445e-09,        +6.514880048873e-07,        -2.490321881069e-09,        +5.209238079861e-07
 2.00e+01,        -7.201857723306e-08,        -1.381866386273e-06,        +2.983906352264e-08,        -8.161523765411e-07,        -4.078888130274e-08,        -6.676561237445e-08,        +3.589053617708e-09,        -2.168725865498e-08,        -1.350326834633e-08,        +3.336608855315e-08,        +1.291162518994e-08,        +2.004144349663e-08,        +2.321382779067e-09,        +5.238966751754e-09,        -7.121388859863e-08,        +5.249599441414e-09
 2.10e+01,        +1.445407530722e-08,        +2.432229653202e-07,        -1.025389719256e-09,        +1.204204045775e-07,        +2.806505385840e-08,        -2.205669346852e-08,        +2.979521187376e-09,        -3.845120447225e-08,        +2.078293954903e-08,        -1.820404750467e-07,        +1.488669076412e-08,        -1.507115829668e-07,        +4.560620287554e-10,        -5.892917014498e-08,        +1.165077889652e-08,        -1.187936574053e-07
 2.20e+01,        +8.999924487581e-12,        +1.515203883496e-06,        -8.220434299704e-10,        +1.834298859573e-06,        +1.691181655998e-09,        +8.273910441981e-07,        -1.978513543610e-09,        +7.130250463662e-07,        +1.780811158086e-09,        +1.656443635391e-06,        -2.100095384684e-08,        +1.305369799322e-06,        -1.680745583305e-09,        +6.278621739642e-07,        +2.103942065650e-08,        +6.438484189351e-07
 2.30e+01,        -3.928977912235e-08,        -1.210305304714e-07,        -2.540075665750e-08,        -1.356152946282e-07,        -5.978530650917e-08,        +3.463979323643e-07,        -2.105506783794e-08,        +6.201833761039e-07,        -9.765983284381e-09,        -1.226512217432e-07,        -1.407500292062e-08,        -8.735355762162e-08,        -1.337954361694e-08,        -7.168204218340e-08,        +5.679901829016e-08,        -1.083789784710e-08
 2.40e+01,        -3.115306507970e-09,        +5.085952879444e-09,        +1.730117537512e-09,        +1.135187080941e-09,        -6.088497405989e-09,        -3.157290846374e-08,        +9.893825925360e-10,        -4.492994588896e-08,        -2.471098600736e-09,        -2.559348832158e-09,        -1.275321031733e-09,        -7.419907453266e-09,        +2.753422492719e-09,        -8.118907775441e-08,        +1.013743524259e-09,        -7.455047423171e-08
 2.50e+01,        -2.761987982384e-10,        +3.733792471692e-10,        -2.129403892917e-10,        -4.475833203156e-10,        +6.018449893213e-11,        +2.633376516685e-09,        -1.452756345544e-10,        +1.292676822348e-10,        +8.724274929205e-12,        -2.190341938612e-10,        -3.573740780449e-11,        +4.796910632226e-10,        -1.258340530670e-09,        +2.961538617816e-05,        -4.462375630567e-11,        -1.208460617313e-08
 2.60e+01,        -1.692412747747e-10,        -1.716167440228e-10,        +1.001226720947e-10,        +6.535810700424e-12,        -5.195747930582e-10,        -3.922281197557e-10,        +5.298662350571e-11,        +1.559161827258e-10,        -3.261976898367e-10,        +6.862008796271e-11,        +3.603037200206e-11,        +1.565088327180e-10,        +4.010938735176e-09,        -6.621321570612e-06,        -2.511010929334e-10,        +3.261449889267e-07
 2.70e+01,        +1.078184117627e-09,        -1.540155670223e-08,        +6.971819984196e-09,        +1.327769675377e-08,        -9.912529352781e-10,        -7.795448087733e-08,        +4.418526244805e-09,        -5.396363380958e-09,        -5.214540288671e-09,        -2.175402842192e-07,        +5.304494138265e-09,        -3.021102920245e-07,        +1.924313992276e-08,        -1.040342359205e-08,        -6.889268933775e-09,        -1.078909547486e-08
 2.80e+01,        -5.720325257485e-11,        +3.398883234072e-10,        +6.406361586542e-10,        +1.582108222028e-10,        +1.923842622890e-09,        +6.166301259953e-05,        -2.708957428852e-10,        -8.717109896166e-09,        -8.808424011769e-10,        -1.187552840723e-09,        +1.659269848141e-09,        +1.319820728595e-09,        +2.252181698592e-10,        +3.691984704811e-10,        +4.957253466894e-10,        +1.783473501032e-09
 2.90e+01,        +7.115303186175e-10,        -6.443581392030e-10,        +1.156300718162e-10,        -1.458260132452e-08,        -3.942560607180e-08,        +5.835161141076e-08,        +1.775687895217e-10,        -8.418461868280e-10,        -7.572263364238e-10,        -1.656114436511e-07,        -7.208435067922e-08,        -1.817384307711e-05,        -4.380744559750e-10,        -1.163258530383e-10,        -8.417212798622e-11,        +9.795917373311e-10
 3.00e+01,        -2.911105877406e-11,        +3.062661467369e-08,        -5.121181783435e-10,        -1.213465975613e-05,        +6.384586094066e-10,        -2.615744823396e-09,        -1.213917202914e-09,        +2.250748093506e-09,        +1.395292404874e-10,        +3.086431993967e-10,        -7.512447449612e-10,        -4.958808715466e-09,        +3.506006342873e-11,        -3.624158206292e-10,        +9.975470193998e-10,        -2.799054854825e-09
