m,Re{f} (GHz),Im{f} (GHz),Q,Error (Bkwd.),Error (Abs.)
1.0,5.570851514297,-1.338633688509e-10,20807975931.42,1.0875599832340001e-19,153.5136631482
2.0,5.666259124642,-4.356713475632e-10,6502905408.326,4.313179528693e-15,6088234.207637
3.0,5.681751713661,8.428581433094e-10,3370526676.857,4.837784508934e-15,6828736.188842
