        m,               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A),               Re{I[3]} (A),               Im{I[3]} (A),               Re{I[4]} (A),               Im{I[4]} (A),               Re{I[5]} (A),               Im{I[5]} (A),               Re{I[6]} (A),               Im{I[6]} (A),               Re{I[7]} (A),               Im{I[7]} (A),               Re{I[8]} (A),               Im{I[8]} (A)
 1.60e+01,        -3.091935330540e-09,        -1.841083672699e-07,        +8.266044860687e-09,        -2.583880232728e-07,        -6.793839058532e-09,        +2.557205247228e-07,        +8.069788124645e-09,        +2.090369539581e-07,        +4.545532540150e-09,        -2.456681827902e-06,        -1.896940645858e-08,        -1.462063572079e-06,        -5.889437173911e-09,        +1.382086195478e-06,        +6.557518354924e-09,        +3.329174165923e-06
 1.70e+01,        -9.871712555710e-09,        -2.218305433243e-06,        -8.332660304359e-09,        -3.574074091716e-06,        +6.345020821772e-09,        +2.189703248248e-06,        -1.598366001787e-09,        +1.466013267785e-06,        -9.190847871906e-09,        -1.527446098616e-07,        +1.749033529406e-08,        -1.225138312373e-07,        +1.351677780517e-09,        +1.258690369107e-07,        -1.744826827924e-08,        +1.172618760349e-07
 1.80e+01,        +3.416774274726e-09,        +4.108324469495e-07,        +1.325073915713e-09,        +4.863108333141e-07,        +1.332934099449e-08,        -3.095855236300e-06,        -1.089228641771e-10,        -2.604903026109e-06,        -2.042445118979e-10,        +4.488939554104e-07,        -1.008501814124e-09,        +3.347917665132e-07,        +4.473979447818e-10,        -2.406950141128e-06,        -6.031396381902e-09,        -2.751984703316e-06
 1.90e+01,        -9.808427617899e-10,        +5.004178513742e-08,        +6.044517494280e-10,        +4.656438853972e-08,        -7.985195289708e-10,        -1.867707690870e-07,        +6.896302045177e-10,        -1.591134917845e-07,        -1.419482500403e-09,        +2.823608220439e-08,        -7.930120355602e-09,        +1.341431406293e-08,        +8.295613396006e-10,        +6.519913475874e-07,        -1.513867030207e-09,        +5.247957034754e-07
 2.00e+01,        -6.014638804155e-08,        -1.379346800011e-06,        +2.292140645109e-08,        -8.129534317186e-07,        -4.079405688226e-08,        -6.624701713443e-08,        +3.296706359106e-09,        -2.161038451898e-08,        -1.168562930367e-08,        +3.343805631275e-08,        +8.382089905597e-09,        +2.554958676319e-08,        +3.138155124047e-09,        +6.013592279882e-09,        -6.523602257691e-08,        +3.751951270653e-09
 2.10e+01,        +3.144050647967e-08,        +1.976927234900e-07,        +2.848454651085e-09,        +1.452038830183e-07,        +3.430430575545e-08,        -2.416537702218e-08,        +7.463115623585e-09,        -4.187946895041e-08,        +2.411496148080e-08,        -1.939911224265e-07,        +3.806927722545e-08,        -1.439391018572e-07,        +3.703252739061e-09,        -6.166911138774e-08,        +1.547950461211e-08,        -1.419127494174e-07
 2.20e+01,        +1.084816236328e-08,        +1.534226839961e-06,        -1.070349201307e-08,        +1.828906726107e-06,        -2.253767718576e-10,        +8.296063214843e-07,        -1.711680612865e-09,        +7.153427606819e-07,        +4.612292635581e-09,        +1.660752864327e-06,        -3.095458165244e-08,        +1.310161103691e-06,        -1.492372158567e-09,        +6.298742138401e-07,        +2.817999936642e-08,        +6.493998317338e-07
 2.30e+01,        -4.008193171020e-08,        -1.239019758430e-07,        -2.425046775998e-08,        -1.345384562899e-07,        -5.963546158495e-08,        +3.462333674902e-07,        -2.105826605233e-08,        +6.198260983943e-07,        -1.009933846870e-08,        -1.233667777398e-07,        -1.261787773451e-08,        -8.774001330906e-08,        -1.333285360238e-08,        -7.197292413006e-08,        +5.608870707132e-08,        -1.202226742276e-08
 2.40e+01,        -3.203682265472e-09,        +1.002142280678e-08,        -5.294034823883e-10,        -1.494772291397e-09,        -1.580670049932e-09,        -2.869967490643e-08,        +1.899638061185e-09,        -4.351735610343e-08,        -2.799629762258e-10,        +1.440438567145e-09,        -5.129984414684e-09,        -8.415403104400e-09,        +3.007871837840e-09,        -7.891876126246e-08,        +5.408481329603e-10,        -7.195404051232e-08
 2.50e+01,        -4.530524246659e-10,        +1.117390222911e-09,        -1.435180912419e-10,        -1.045867407051e-09,        +4.423929752610e-10,        -2.174708072669e-09,        -3.489051170473e-11,        +4.978967308065e-11,        +3.245037789026e-11,        -5.996116870444e-10,        -6.601474460982e-11,        +1.237598793634e-09,        -8.760216884094e-09,        +2.961554439025e-05,        -1.873563410246e-10,        -1.214595737575e-08
 2.60e+01,        -3.404716191665e-10,        -1.453106349188e-10,        +1.100198416851e-10,        +5.190865362695e-12,        -3.813376616383e-10,        -3.181372103912e-10,        +3.887043197393e-11,        +1.170971170006e-10,        -2.148216901277e-10,        +8.766603718775e-12,        -3.636808352754e-10,        +1.695703420875e-11,        +3.878575386874e-09,        -6.621326551028e-06,        -1.836572272721e-10,        +3.261697369664e-07
 2.70e+01,        -3.221310157616e-09,        -1.692320198901e-08,        +5.830355311718e-09,        +1.827492419169e-08,        +2.545786904714e-08,        +1.182711748874e-08,        +3.399471148688e-09,        -3.264041943984e-09,        +1.932637224660e-10,        -2.066443297359e-07,        -4.003023442444e-09,        -3.120176229400e-07,        +1.031193638147e-08,        -5.909927694927e-09,        -2.844750362136e-09,        -5.656518608483e-09
 2.80e+01,        -7.327344459867e-11,        +9.151748597609e-10,        +8.127576248841e-10,        +7.388644287604e-10,        +3.164614314620e-09,        +6.166314055192e-05,        -1.912581839042e-10,        -8.444280319378e-09,        -3.486970741107e-10,        -5.034797218390e-10,        +8.358320503396e-10,        +8.693396693416e-10,        -8.755856604575e-11,        -9.647297597834e-12,        +5.425143937453e-10,        +1.517176508918e-09
 2.90e+01,        +4.863466117412e-10,        -7.414814899353e-10,        +1.529498020315e-10,        -1.532483702509e-08,        -3.524862407847e-08,        +5.468434103601e-08,        +1.811192809227e-10,        -4.284775619563e-10,        -6.606551824643e-10,        -1.660221762572e-07,        -6.407666233630e-08,        -1.817371843017e-05,        -4.371432646088e-10,        +1.088573895631e-10,        +1.762110459661e-10,        -1.635743405236e-10
 3.00e+01,        -4.086335843944e-10,        +3.140236286476e-08,        +7.323551520679e-10,        -1.213479647496e-05,        +4.148658395304e-09,        -5.052673569535e-09,        -1.235938780593e-09,        +1.959121663545e-09,        -6.150560768323e-11,        -2.289512016282e-10,        -1.251188278532e-09,        -3.439758607288e-09,        -5.424545126976e-11,        -1.481506033916e-10,        +8.619278828398e-10,        -1.887038667064e-09
 3.10e+01,        +4.223684405856e-10,        -2.947298973712e-09,        +2.067377523019e-09,        +5.336717643838e-09,        +3.280632253174e-09,        -2.659847859698e-09,        +1.832304593244e-09,        +7.088757197569e-08,        -5.567471166616e-10,        -2.208197257022e-10,        -7.177902796126e-10,        -1.820197124721e-09,        +2.011008958384e-10,        +5.150068729348e-08,        -5.197328514558e-09,        -3.194433013303e-05
 3.20e+01,        -1.868390527545e-09,        +1.059198902946e-08,        -3.879799911222e-09,        -7.463266116162e-09,        -3.100999459160e-09,        -1.000978770371e-10,        -1.378708255974e-09,        +3.764475012766e-05,        -5.209953006140e-12,        -2.928840007692e-10,        -2.273988482429e-10,        +1.150008918664e-09,        -3.088261432577e-10,        +7.101995537961e-11,        +1.240942693298e-08,        +9.854268962490e-08
 3.30e+01,        +3.879448089363e-09,        +3.658946880478e-09,        -4.434686539209e-09,        -6.796543889615e-10,        +9.118223262812e-09,        -4.620875086004e-06,        +6.479507813713e-08,        +5.809620762905e-07,        +1.797811187612e-11,        -1.284537698563e-10,        +5.933484482144e-10,        +4.765828078238e-10,        -1.972417305176e-11,        +2.248592908037e-10,        +3.331686431900e-08,        +1.736028479054e-08
 3.40e+01,        -8.193371172393e-09,        -2.754775765765e-08,        -1.852544436638e-08,        -8.636581414602e-06,        +1.699245618262e-09,        -1.909933934352e-09,        -5.558228606959e-09,        +1.242133867350e-08,        +3.264699459014e-10,        -4.097941968029e-10,        -2.777541576934e-11,        +9.821422969282e-10,        -1.189935131230e-10,        +1.858544101958e-10,        -7.175719952084e-10,        +1.463852041492e-09
 3.50e+01,        +8.414675412385e-10,        +2.213232674309e-05,        +4.250149196222e-10,        -2.625493500130e-08,        -5.468046203331e-10,        +3.785896198107e-09,        -9.802356161499e-10,        -5.348909312764e-09,        +3.418899098636e-10,        +4.084632635670e-10,        -4.807290621845e-10,        +9.601944547191e-10,        -1.548802388615e-10,        +4.859927567677e-11,        +2.407565271749e-09,        +9.451637773111e-09
 3.60e+01,        +4.992734210790e-10,        +4.914096233393e-10,        -1.214748699600e-10,        -8.714265932231e-11,        -2.219356232460e-10,        +3.115715496812e-09,        +4.348099325873e-10,        -7.356900291158e-11,        +3.725491520716e-10,        -6.266659922180e-09,        +8.163419021928e-10,        +9.271497861240e-06,        +4.423152669577e-11,        -3.065607824781e-11,        +1.311837530184e-09,        +2.352336367984e-09
 3.70e+01,        +4.179810921931e-10,        +2.296635715311e-09,        -5.572621531175e-11,        +1.007037786894e-09,        +1.200361322046e-09,        -1.836420368567e-09,        -2.357315154081e-10,        +5.576583754890e-11,        +3.049593620435e-10,        -8.896184916229e-10,        +3.697028288519e-10,        -2.700802249890e-10,        -2.371057246407e-10,        +3.452982464087e-08,        +5.274887669695e-10,        -1.273668704793e-05
