Qubit,Mode,Frequency_GHz,Im_Frequency_GHz,Q_factor,Error_Backward,Error_Absolute,Dominant_JJ,Dominant_JJ_Fraction,Dominant_Qubit,Dominant_Qubit_Fraction,Mode_Purity
Q1,9,6.832612991191,-1.696500705063e-09,2013737150.477,2.269387064876e-19,320.3335235748,JJ2,0.9938102815016633,Q1,0.9999999999400258,0.9999999999400258
Q2,7,6.652832452088,1.861777337291e-08,178668853.6495,1.223307847571e-19,172.6750448511,JJ3,0.9908746295930674,Q2,0.9999999999862941,0.9999999999862941
Q3,13,7.168394141588,2.496882387806e-09,1435468922.484,9.1639249677e-19,1293.526529854,JJ5,0.9736089762947411,Q3,0.9999999999845676,0.9999999999845676
Q4,4,5.821776500398,1.849373546022e-09,1573986097.325,2.266847161265e-19,319.9750054299,JJ7,0.9987963704976344,Q4,0.9999999999991738,0.9999999999991738
