Qubit,Mode,Frequency_GHz,Q1_Pair_EPR,Q2_Pair_EPR,Q3_Pair_EPR,Q4_Pair_EPR
Q1,9,6.832612991191,0.999839704714449,3.336125309137601e-11,2.4255042849655e-12,2.4177836851797422e-11
Q2,7,6.652832452088,1.1096122883881e-11,0.999644479311083,5.489622088075299e-13,2.0559262266397e-12
Q3,13,7.168394141588,1.440253063313054e-11,7.346809317765999e-13,0.99978796132278,2.9200488128407996e-13
Q4,4,5.821776500398,1.2296704379107999e-14,1.675234771275e-13,6.462336001506e-13,0.999774783867459
