        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2]
 1.00e+00,        +1.053141174847e-11,        +2.462221485584e-15,        +6.146669048254e-12,        +1.667540623653e-11,        +9.551155025410e-12,        +9.069206725107e-01,        +1.760958004927e-15,        +7.151907394346e-01,        +9.802567230603e-13,        +9.307932748928e-02,        +7.012634806573e-16,        +2.848092605654e-01
 2.00e+00,        +1.042596511511e-11,        +2.236703082200e-15,        +6.251375118381e-12,        +1.667366231660e-11,        +9.566310773102e-12,        +9.175467851159e-01,        +1.617998204409e-15,        +7.233853332101e-01,        +8.596543420110e-13,        +8.245321488414e-02,        +6.187048777907e-16,        +2.766146667899e-01
 3.00e+00,        +1.024956035421e-11,        +2.235979159998e-15,        +6.428386855056e-12,        +1.667530035776e-11,        +9.269906828727e-12,        +9.044199466486e-01,        +1.574335789320e-15,        +7.040923356912e-01,        +9.796535254838e-13,        +9.558005335140e-02,        +6.616433706782e-16,        +2.959076643088e-01
 4.00e+00,        +1.019278507848e-11,        +2.251186754133e-15,        +6.485049697496e-12,        +1.667500335145e-11,        +9.411116115496e-12,        +9.233115427267e-01,        +1.647264381092e-15,        +7.317315536205e-01,        +7.816689629875e-13,        +7.668845727333e-02,        +6.039223730416e-16,        +2.682684463795e-01
