        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +6.832613230365e+00,        +1.428186188121e-14,        +2.392059693335e+14,        +8.349444683109e-21,        +1.178559213908e+01
 2.00e+00,        +6.890923250695e+00,        +3.348999183584e-09,        +1.028803363774e+09,        +2.519179418479e-18,        +3.555927642929e+03
 3.00e+00,        +6.987459494990e+00,        -6.943440815202e-09,        +5.031698030529e+08,        +6.345781098436e-17,        +8.957336765664e+04
 4.00e+00,        +7.018249819560e+00,        -7.488511362473e-10,        +4.686011331124e+09,        +4.058857947487e-16,        +5.729248607217e+05
