        m,               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V),               Re{V[3]} (V),               Im{V[3]} (V),               Re{V[4]} (V),               Im{V[4]} (V),               Re{V[5]} (V),               Im{V[5]} (V),               Re{V[6]} (V),               Im{V[6]} (V),               Re{V[7]} (V),               Im{V[7]} (V),               Re{V[8]} (V),               Im{V[8]} (V)
 1.00e+00,        +2.758490151324e+00,        -2.159451899138e-11,        +3.495317641749e+01,        -7.345533901780e-11,        -1.257723067722e-04,        -3.052802553564e-11,        +1.976584877901e-04,        +6.194665655686e-11,        +2.839153625887e-05,        -1.846055354189e-12,        +6.172823920577e-05,        -2.063829052941e-11,        -9.839921339212e-09,        -2.751466232684e-12,        -6.383921378768e-05,        +7.833053245695e-11
 2.00e+00,        +9.265782591649e-05,        -1.582296731576e-07,        -2.187648069625e-04,        +1.685187252107e-07,        -3.377516423779e+00,        -1.179154388353e-06,        +3.519754830120e+01,        -2.467318188808e-06,        +6.311341636900e-06,        +7.520402685972e-07,        +1.868608182128e-05,        -4.094044917692e-07,        -4.738825279234e-06,        -1.330442558616e-08,        -1.054598149922e-04,        -4.215266865166e-09
 3.00e+00,        -1.330469369578e-04,        -1.157128408203e-05,        +7.797331451587e-05,        +1.472238842353e-06,        +9.315133754959e-07,        +2.515354959177e-06,        +3.364887226672e-05,        +3.526517773695e-06,        -5.823816055750e+00,        -4.204165138479e-06,        -3.538022805938e+01,        +1.144875291761e-05,        +2.321149253379e-05,        -2.048571474318e-08,        -1.467441438043e-05,        -2.549160755610e-07
 4.00e+00,        -3.590235888217e+01,        -1.476224566905e-05,        +2.833825346648e+00,        +6.640162825301e-07,        +4.122153805750e-05,        +4.181104767190e-06,        +1.314657407962e-04,        +1.684513767676e-06,        -5.155206369392e-06,        -3.314669330956e-06,        +2.834597867863e-04,        +8.484531122528e-06,        +1.712065734277e-06,        -5.106703385729e-08,        +1.198732076393e-05,        +9.872651650870e-07
