        m,                       p[1],                       p[2],                       p[3],                       p[4],                       p[5],                       p[6],                       p[7],                       p[8]
 1.00e+00,        -6.188756547818e-03,        -9.936508796134e-01,        -1.286561573782e-11,        +3.177543174655e-11,        -6.555990398030e-13,        -3.099047987853e-12,        -7.874877571869e-20,        +3.314634016584e-12
 2.00e+00,        -6.865372966250e-12,        +3.826959183929e-11,        -9.122074113276e-03,        -9.906573920516e-01,        +3.230464322081e-14,        -2.793467185919e-13,        -1.795740070106e-14,        -8.893499157251e-12
 3.00e+00,        -1.387016051660e-11,        +4.729833599258e-12,        +5.595171908480e-15,        +8.901932108692e-13,        -2.637633008852e-02,        +9.734649662166e-01,        -4.189918186894e-13,        -1.675142140290e-13
 4.00e+00,        -9.936396798697e-01,        +6.190548343419e-03,        +1.323355618235e-12,        +1.332537506172e-11,        -2.895645374381e-14,        +6.199473285401e-11,        -2.261570061090e-15,        +1.115226539378e-13
