Mode_1,Mode_2,Frequency_1_GHz,Frequency_2_GHz,Detuning_MHz
M1,M2,5.821776500398,6.807000960044,985.224459646
M1,M3,5.821776500398,6.832612991191,1010.8364907929994
M1,M4,5.821776500398,7.018249314955,1196.4728145569995
M2,M3,6.807000960044,6.832612991191,25.612031146999392
M2,M4,6.807000960044,7.018249314955,211.24835491099958
M3,M4,6.832612991191,7.018249314955,185.6363237640002
