Localized_Mode,PALACE_Mode,Frequency_GHz,Im_Frequency_GHz,Q,Dominant_EPR,Dominant_EPR_Participation,EPR_Purity
M1,4,5.821776500398,1.849373546022e-09,1573986097.325,p[7],0.9985714254427,0.9987963704976344
M2,8,6.807000960044,1.829077516728e-08,186077432.4158,p[8],0.9985505415273,0.9987950092394767
M3,9,6.832612991191,-1.696500705063e-09,2013737150.477,p[2],0.9936509784584,0.9938102815016633
M4,12,7.018249314955,1.68956838248e-08,207693556.1688,p[1],0.9936397530882,0.9938082824496893
