Pair,f_A_GHz,f_B_GHz,Detuning_MHz,Interpretation
Q1-Q2,6.832612991191,6.890922915515,58.30992432399995,frequency detuning only; NOT 2g
Q1-Q3,6.832612991191,6.987460169349,154.84717815800053,frequency detuning only; NOT 2g
Q1-Q4,6.832612991191,5.821776500398,1010.8364907929994,frequency detuning only; NOT 2g
Q2-Q3,6.890922915515,6.987460169349,96.53725383400058,frequency detuning only; NOT 2g
Q2-Q4,6.890922915515,5.821776500398,1069.1464151169994,frequency detuning only; NOT 2g
Q3-Q4,6.987460169349,5.821776500398,1165.6836689509998,frequency detuning only; NOT 2g
