attribute,cells,B_min,B_max,B_mean,B_median,B_P99,B_P99_9
101,233878,3.662742755187443e-13,5.802790959072855,2.8400151817970494e-05,3.85766098294258e-09,4.923600312316601e-07,1.3340843401241704e-06
100,189345,3.811824165071467e-16,0.0024635571699895926,8.494677157625024e-08,3.181656998020787e-09,5.622768416582608e-07,1.4242881199415877e-06
