        m,                       p[1],                       p[2],                       p[3],                       p[4],                       p[5],                       p[6],                       p[7],                       p[8]
 1.00e+00,        -8.173416226536e-12,        -2.431064994261e-11,        -1.883892827980e-09,        -1.586610699374e-09,        +1.093032458018e-11,        -1.324564444217e-11,        +9.398632978415e-07,        +2.660235356928e-08
 2.00e+00,        -2.129218764715e-09,        -1.724134118627e-09,        -4.866653395169e-11,        -2.141777780092e-11,        +2.188072928889e-09,        -1.201548228725e-08,        -5.150783408984e-09,        +1.505627933345e-10
 3.00e+00,        +4.401518762123e-10,        +2.728693453566e-10,        +1.274862559542e-12,        -1.812038889349e-12,        +3.089313203792e-08,        -5.277826627007e-08,        +3.128812049455e-09,        +7.024113624403e-11
