        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +5.570851514297e+00,        -1.338633688509e-10,        +2.080797593142e+10,        +1.087559983234e-19,        +1.535136631482e+02
 2.00e+00,        +5.666259124642e+00,        -4.356713475632e-10,        +6.502905408326e+09,        +4.313179528693e-15,        +6.088234207637e+06
 3.00e+00,        +5.681751713661e+00,        +8.428581433094e-10,        +3.370526676857e+09,        +4.837784508934e-15,        +6.828736188842e+06
