        m,               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A),               Re{I[3]} (A),               Im{I[3]} (A),               Re{I[4]} (A),               Im{I[4]} (A),               Re{I[5]} (A),               Im{I[5]} (A),               Re{I[6]} (A),               Im{I[6]} (A),               Re{I[7]} (A),               Im{I[7]} (A),               Re{I[8]} (A),               Im{I[8]} (A)
 1.00e+00,        -8.856228298904e-09,        +8.769978882846e-08,        -1.355982680480e-08,        +1.514131527580e-07,        -2.814397345830e-09,        +1.338218578016e-06,        -1.273339027372e-08,        +1.228037879424e-06,        +8.583657774135e-09,        -1.015713339292e-07,        -9.708782663735e-09,        -1.117904644091e-07,        +4.448746098556e-09,        -2.989043663854e-05,        +1.810528693616e-08,        -5.028716294267e-06
 2.00e+00,        -1.557341112140e-08,        -1.406651189061e-06,        -6.760498140652e-09,        -1.265849922729e-06,        -5.502128425514e-08,        -2.054352915490e-07,        -3.751395144744e-09,        -1.410381237394e-07,        +4.136430999738e-09,        +1.426040827208e-06,        -5.601850949702e-09,        +3.341741742048e-06,        -5.761703961915e-09,        +2.187953199494e-06,        +1.536488231174e-08,        +3.737619337820e-07
 3.00e+00,        +6.930983244166e-11,        -6.384043342677e-07,        +4.180040625627e-10,        -5.026570464298e-07,        +1.269183663643e-08,        +3.192773911105e-08,        -1.139446442086e-08,        +3.934500778952e-08,        +4.829678992984e-08,        +5.348202140769e-06,        -4.134674193070e-09,        +6.990722044846e-06,        +2.329600415343e-09,        +1.702095335984e-06,        +9.588732423161e-09,        +2.548491136933e-07
