mode,frequency_GHz,p[1],p[2],p[3],p[4],p[5],p[6],p[7],p[8],Q1_participation,Q2_participation,Q3_participation,Q4_participation
1.0,5.570851514297,-8.173416227917e-12,-2.43106500322e-11,-1.883892828771e-09,-1.58661069966e-09,1.093032472149e-11,-1.324564445674e-11,9.398632978377e-07,2.660235356812e-08,3.2484066260117e-11,3.470503528431e-09,2.4175969178230003e-11,9.6646565140582e-07
2.0,5.666259124642,-2.129313832074e-09,-1.724040066244e-09,-4.863994829750001e-11,-2.1397235455100002e-11,2.188048465584e-09,-1.201531465173e-08,-5.150792218962e-09,1.504981357756e-10,3.853353898318e-09,7.003718375260001e-11,1.4203363117313998e-08,5.3012903547376e-09
3.0,5.681751713662,4.40200871762e-10,2.728288994398e-10,1.281171744232e-12,-1.818435472377e-12,3.089304099632e-08,-5.277788656365e-08,3.128819256729e-09,7.019346447083e-11,7.130297712017999e-10,3.0996072166090003e-12,8.367092755997e-08,3.19901272119983e-09
4.0,5.821776500398,7.040644833103e-15,-5.256059546005e-15,9.884321523189e-14,-6.868026189560999e-14,3.9603061000109997e-13,2.502029901495e-13,0.9985714254427,-0.001203358424759,1.2296704379107999e-14,1.675234771275e-13,6.462336001506e-13,0.999774783867459
5.0,5.876664594072,1.058290957874e-09,1.259109799583e-09,-1.457665532296e-10,7.638969881558001e-11,-4.320533331706e-08,-8.17389991531e-08,-3.419791833186e-07,9.23521509484e-12,2.317400757457e-09,2.2215625204518e-10,1.2494433247016e-07,3.4198841853369485e-07
6.0,5.981589543296,2.035269606919e-10,2.638359739101e-10,9.193229077038e-10,9.783038841649e-10,9.435417377675e-10,1.592955288216e-09,-1.042470660671e-05,-1.330406278068e-07,4.673629346020001e-10,1.8976267918687e-09,2.5364970259835e-09,1.05577472345168e-05
7.0,6.652832452088,-4.951465784135e-12,6.144657099746e-12,-0.9905223531757,0.009122126135383,-4.545502480803e-14,5.035071839994999e-13,-1.434518583967e-13,1.9124743682430002e-12,1.1096122883881e-11,0.999644479311083,5.489622088075299e-13,2.0559262266397e-12
8.0,6.807000960044,7.084436366571999e-14,2.121169774008e-10,-3.989943043679e-12,1.09109898057e-12,-5.467214117805e-14,8.572240879765999e-13,-0.001204695605612,0.9985505415273,2.121878217644657e-10,5.081042024249e-12,9.1189622915465e-13,0.999755237132912
9.0,6.832612991191,0.006188726256049,0.9936509784584,1.732830852576e-12,3.1628422238800004e-11,-2.964227377325e-13,-2.1290815472330002e-12,5.282128196742e-14,-2.4125015569830002e-11,0.999839704714449,3.336125309137601e-11,2.4255042849655e-12,2.4177836851797422e-11
10.0,6.890922915515,1.906395865678e-12,1.691767553444e-10,-0.00912206782874,-0.9906574953578,-3.871501068687e-13,-3.3066153297680005e-11,-1.0755750007049999e-14,7.645953707382001e-11,1.71083151210078e-10,0.99977956318654,3.3453303404548704e-11,7.647029282382706e-11
