        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +6.832613230365e+00,        +3.130766882311e-14,        +1.091204405695e+14,        +1.347449617211e-20,        +1.901981774732e+01
 2.00e+00,        +6.890923250693e+00,        +3.347286410650e-09,        +1.029329792152e+09,        +4.219115747930e-18,        +5.955459228799e+03
 3.00e+00,        +6.987459494956e+00,        -6.957376583493e-09,        +5.021619435934e+08,        +6.096598702691e-17,        +8.605605339676e+04
 4.00e+00,        +7.018249819535e+00,        -7.380122959099e-10,        +4.754832580995e+09,        +4.158576949992e-16,        +5.870006170948e+05
