        m,                       p[1],                       p[2],                       p[3],                       p[4],                       p[5],                       p[6],                       p[7],                       p[8]
 1.00e+00,        -6.188756547800e-03,        -9.936508796134e-01,        -1.286561573819e-11,        +3.177543175553e-11,        -6.555990399048e-13,        -3.099047988126e-12,        -7.874863969818e-20,        +3.314634042504e-12
 2.00e+00,        -6.865113094021e-12,        +3.826947314307e-11,        -9.122074112759e-03,        -9.906573920526e-01,        +3.230454629534e-14,        -2.793246205043e-13,        -1.795728285156e-14,        -8.893530593340e-12
 3.00e+00,        -1.385601925831e-11,        +4.729036512325e-12,        +5.597395342272e-15,        +8.902763093155e-13,        -2.637633009428e-02,        +9.734649662205e-01,        -4.189918165453e-13,        -1.675140000283e-13
 4.00e+00,        -9.936396798755e-01,        +6.190548344876e-03,        +1.323053367692e-12,        +1.332498875345e-11,        -2.913135819583e-14,        +6.195635276626e-11,        -2.261922949732e-15,        +1.115123321632e-13
