,M1,M2,M3,M4
M1,0.0,985.224459646,1010.8364907929994,1196.4728145569995
M2,985.224459646,0.0,25.612031146999392,211.24835491099958
M3,1010.8364907929994,25.612031146999392,0.0,185.6363237640002
M4,1196.4728145569995,211.24835491099958,185.6363237640002,0.0
