        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2]
 1.00e+00,        +1.667820079509e-11,        +1.667818858134e-11,        +3.964155818699e-18,        +1.617773878308e-17,        +1.523566237096e-11,        +9.135075514529e-01,        +8.015584062822e-12,        +4.806027959049e-01,        +1.442538424127e-12,        +8.649244854711e-02,        +8.662604518520e-12,        +5.193972040951e-01
 2.00e+00,        +1.667820466053e-11,        +1.667823738822e-11,        +9.905431273132e-20,        +3.907426286501e-19,        +1.533828858671e-11,        +9.196606528650e-01,        +8.078962425049e-12,        +4.844014530429e-01,        +1.339916073810e-12,        +8.033934713499e-02,        +8.599274963172e-12,        +5.155985469571e-01
 3.00e+00,        +1.667820438725e-11,        +1.667824122496e-11,        +3.723411233384e-19,        +1.460786575464e-18,        +1.531150305870e-11,        +9.180546480416e-01,        +8.145156989811e-12,        +4.883702591866e-01,        +1.366701328547e-12,        +8.194535195839e-02,        +8.533084235151e-12,        +5.116297408134e-01
