        m,               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A),               Re{I[3]} (A),               Im{I[3]} (A),               Re{I[4]} (A),               Im{I[4]} (A),               Re{I[5]} (A),               Im{I[5]} (A),               Re{I[6]} (A),               Im{I[6]} (A),               Re{I[7]} (A),               Im{I[7]} (A),               Re{I[8]} (A),               Im{I[8]} (A)
 1.00e+00,        -8.856228317281e-09,        +8.769978887732e-08,        -1.355982690826e-08,        +1.514131529085e-07,        -2.814397335940e-09,        +1.338218578099e-06,        -1.273339035607e-08,        +1.228037879447e-06,        +8.583658674897e-09,        -1.015713343086e-07,        -9.708782743943e-09,        -1.117904644205e-07,        +4.448746061848e-09,        -2.989043663852e-05,        +1.810528704064e-08,        -5.028716294098e-06
 2.00e+00,        -1.557341148944e-08,        -1.406651190239e-06,        -6.760498219511e-09,        -1.265849923058e-06,        -5.502128432266e-08,        -2.054352914218e-07,        -3.751395008596e-09,        -1.410381247428e-07,        +4.136431172897e-09,        +1.426040827328e-06,        -5.601850962104e-09,        +3.341741742045e-06,        -5.761703971016e-09,        +2.187953199209e-06,        +1.536488254986e-08,        +3.737619348304e-07
 3.00e+00,        +6.930995126249e-11,        -6.384043354050e-07,        +4.180041457843e-10,        -5.026570466486e-07,        +1.269183601746e-08,        +3.192773826439e-08,        -1.139446390053e-08,        +3.934500674002e-08,        +4.829679035110e-08,        +5.348202140543e-06,        -4.134674250651e-09,        +6.990722044839e-06,        +2.329600538192e-09,        +1.702095335939e-06,        +9.588732344331e-09,        +2.548491146247e-07
