        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +5.570851514297e+00,        -1.338626267309e-10,        +2.080809128859e+10,        +4.538546580755e-20,        +6.406349274718e+01
 2.00e+00,        +5.666259124642e+00,        -4.356703436419e-10,        +6.502920393061e+09,        +4.313231291358e-15,        +6.088307272814e+06
 3.00e+00,        +5.681751713661e+00,        +8.428584166834e-10,        +3.370525583655e+09,        +4.837677064486e-15,        +6.828584526487e+06
