layer,datatype,polygons,area_mm2,xmin_mm,ymin_mm,xmax_mm,ymax_mm
1,10,6,0.09152398408800004,-1.219228,-0.21922799999999998,-0.7807719999999999,0.195212
1,11,5,0.03053302091000002,-1.577747,-0.577747,-0.422253,0.7322839999999999
