layer,datatype,polygons,area_mm2,xmin_mm,ymin_mm,xmax_mm,ymax_mm
1,0,53,1.7073029077,2.1059799999999997,-0.550202,5.0,0.410006
1,11,15,0.07857044115000035,2.5282579999999997,-1.143802,3.426039,1.230708
1,100,151,1.3314408727354998,2.102401,-0.4125,5.0,0.409966
1,101,81,0.050089700000000036,2.5875,-0.4125,3.4124999999999996,0.4125
