layer,datatype,polygons,total_area_um2,xmin_um,ymin_um,xmax_um,ymax_um
1,0,2458,89.93698015779349,-5.0,-5.0,5.0,5.0
1,10,90,0.39919128854399993,-4.802,-6.302,4.802,3.102
1,11,249,1.344410934642999,-4.5,-6.0,4.5,2.9
1,100,14072,84.80126635597999,-5.0,-5.0,5.0,5.0
1,101,8673,5.157732046063004,-4.8125,-4.8125,4.7124999999999995,4.7124999999999995
1,102,1,0.0006249999999999999,-0.012499999999999999,-0.012499999999999999,0.012499999999999999,0.012499999999999999
53,0,13,0.00025421315399999997,-0.015,-0.001503,0.015,0.0015
54,0,3,4.2163099999999997e-07,-0.000627,-0.000765,0.002019,-0.000341
