cell,layer,datatype,area_um2,bbox_xmin_um,bbox_ymin_um,bbox_xmax_um,bbox_ymax_um
TOP_main_1,1,10,0.026673861904000028,-1.1844999999999999,-0.1845,-0.8155,0.1845
TOP_main_1,1,10,0.04885182285200001,-1.1248,-0.1248,-0.8752,0.1248
TOP_main_1,1,10,0.003999574833000003,-1.219228,0.09290699999999999,-1.124102,0.195212
TOP_main_1,1,10,0.003999574833000001,-1.195212,-0.21922799999999998,-1.0929069999999999,-0.12410199999999999
TOP_main_1,1,10,0.003999574832999999,-0.875898,-0.195212,-0.7807719999999999,-0.09290699999999999
TOP_main_1,1,10,0.003999574832999999,-0.875898,0.09290699999999999,-0.7807719999999999,0.195212
TOP_main_1,1,10,0.014896600960000027,1.2427,-0.1573,1.5573,0.1573
TOP_main_1,1,10,0.035508721051999995,1.2935999999999999,-0.1064,1.5064,0.1064
TOP_main_1,1,10,0.003999292300999994,1.202129,0.074976,1.297308,0.177273
TOP_main_1,1,10,0.003999292300999996,1.222727,-0.197871,1.325024,-0.10269199999999999
TOP_main_1,1,10,0.003999292301000001,1.502692,-0.177273,1.5978709999999998,-0.074976
TOP_main_1,1,10,0.003999292301,1.502692,0.074976,1.5978709999999998,0.177273
TOP_main_1,1,10,0.005909418300000015,-1.131,-2.831,-0.869,-2.569
TOP_main_1,1,10,0.02462182835199999,-1.0886,-2.7885999999999997,-0.9114,-2.6113999999999997
TOP_main_1,1,10,0.0039986925490000024,-0.918175,-2.859797,-0.8229219999999999,-2.7575179999999997
TOP_main_1,1,10,0.003998692549000008,-0.9424819999999999,-2.618175,-0.8402029999999999,-2.522922
TOP_main_1,1,10,0.003998692548999996,-1.1770779999999998,-2.6424819999999998,-1.081825,-2.540203
TOP_main_1,1,10,0.003998692548999998,-1.1770779999999998,-2.859797,-1.081825,-2.7575179999999997
TOP_main_1,1,10,0.0013499510800000294,1.2857999999999998,-2.8142,1.5142,-2.5858
TOP_main_1,1,10,0.018741856747999996,1.3227,-2.7773,1.4772999999999998,-2.6227
TOP_main_1,1,10,0.003997997140999997,1.468375,-2.84854,1.56369,-2.746282
TOP_main_1,1,10,0.0039979971410000065,1.4462819999999998,-2.6316249999999997,1.54854,-2.53631
TOP_main_1,1,10,0.003997997141000001,1.23631,-2.653718,1.3316249999999998,-2.55146
TOP_main_1,1,10,0.003997997140999995,1.23631,-2.84854,1.3316249999999998,-2.746282
TOP_main_1,1,10,0.011890000000000012,-1.03,2.9,-0.95,3.102
TOP_main_1,1,10,0.011952500000000003,-4.802,-0.04,-4.5375,0.04
